Domain,Topic,document Section,Question_type,Question,Answer,Facts,keywords,doc link
,Banking System,Bank Definition,Definition,What is a bank according to the document?,A bank is a financial institution that accepts deposits from the public and creates demand deposits while making loans.,Banks accept deposits from the public; Banks create demand deposits; Banks make loans; Lending can be direct or via capital markets,"bank, deposits, loans, financial institution",https://drive.google.com/file/d/13V8vT49C2qNqngL7nat5QVbtpWLoAAUc/view?usp=sharing
,,Banking Regulation,Conceptual,Why are banks highly regulated in most countries?,Banks are highly regulated to ensure financial stability and maintain liquidity in the economy.,Banks play a key role in economic stability; Countries enforce regulations to ensure liquidity; Minimum capital requirements are applied; Basel Accords define capital standards,"regulation, financial stability, liquidity, Basel Accords",
,,Fractional Reserve Banking,Definition,What is fractional-reserve banking?,Fractional-reserve banking is a system where banks hold liquid assets equal to only a portion of their current liabilities.,Banks keep only a fraction of deposits as reserves; Remaining funds are used for lending; It is institutionalized in most countries; Ensures liquidity management,"fractional reserve, liquidity, reserves, banking system",
,,Bank Activities,Conceptual,What are the main activities of banks in standard business operations?,"Banks act as payment agents, accept deposits, lend money, and facilitate financial transactions.",Banks conduct checking accounts; Banks process payments like ACH and wire transfers; Banks accept term deposits and issue bonds; Banks provide loans and advances,"bank activities, payments, deposits, lending",
,,Revenue Model,Conceptual,How do banks primarily generate revenue?,Banks primarily generate revenue by earning the interest spread between deposits and loans.,Banks charge interest on loans; Banks pay interest on deposits; The difference is called interest spread; Fees and financial advice provide additional income,"revenue, interest spread, loans, deposits",
,,History of Banking,Definition,When did modern banking evolve according to the document?,Modern banking evolved in the fourteenth century in Renaissance Italy.,Banking developed in Italian city-states; Influential families like Medici were involved; Earlier forms existed in ancient times; Banking evolved from credit and lending concepts,"history, Renaissance Italy, Medici, banking evolution",
,,Bank Risks,Conceptual,What types of risks do banks face?,"Banks face liquidity risk, credit risk, and interest rate risk.",Liquidity risk arises from excessive withdrawals; Credit risk involves borrower default; Interest rate risk affects profitability; Risks can trigger systemic crises,"bank risks, liquidity risk, credit risk, interest rate risk",
,,Bank Capital,Definition,What constitutes bank capital?,"Bank capital consists mainly of equity, retained earnings, and subordinated debt.",Capital includes equity; Retained earnings are part of capital; Subordinated debt contributes to capital; Capital supports risk management,"bank capital, equity, retained earnings, debt",
,,Bank Crisis,Cause-Effect,What causes bank crises according to the document?,"Bank crises occur when risks like liquidity, credit, or interest rate risks affect the banking sector.",Excess withdrawals cause liquidity crises; Loan defaults cause credit crises; Interest rate changes affect profits; Crises can impact multiple banks simultaneously,"bank crisis, liquidity, credit risk, financial crisis",
,,Globalization in Banking,Conceptual,Why is banking not fully globalized despite technological advancements?,Banking is not fully globalized because local banks are more convenient for small businesses and individuals.,Technology enables global reach; Cross-border services have increased; Local lending remains important; Foreign banks have limited market share,"globalization, local banks, cross-border, financial services",
,,,,,,,,
,GDP,GDP Definition,Definition,What is gross domestic product (GDP)?,Gross domestic product is a monetary measure of the total market value of all final goods and services produced within a specific period by a country.,GDP measures final goods and services only; GDP is calculated for a specific time period such as a year; GDP reflects total market value; GDP is used as a measure of economic activity,"GDP, definition, economic activity",https://drive.google.com/file/d/1U6ST_vaPwWgQzFDjGBvXGRDXF5qStJzL/view?usp=drive_link
,,GDP Components,Conceptual,What are the major components of GDP?,"The major components of GDP are consumption, government spending, net exports, and investment.",Consumption is spending by households; Government spending includes public expenditures; Net exports are exports minus imports; Investment refers to capital formation,"components, consumption, investment, net exports",
,,GDP Limitation,Conceptual,Why is GDP not a measure of overall well-being?,GDP is not a measure of overall well-being because it does not account for income distribution among the population.,GDP ignores how income is distributed; High GDP does not guarantee equitable wealth; GDP does not measure quality of life; GDP excludes social and welfare factors,"limitations, well-being, income distribution",
,,GDP Calculation Methods,Definition,What are the three approaches to calculating GDP?,"GDP can be calculated using the production approach, income approach, and expenditure approach.",Production approach sums value added; Income approach sums incomes of factors of production; Expenditure approach sums spending on final goods; All methods theoretically give the same result,"calculation, production, income, expenditure",
,,Production Approach,Conceptual,How does the production approach calculate GDP?,The production approach calculates GDP by summing the value added at each stage of production.,Value added equals output minus intermediate consumption; It measures contribution at each production stage; It is also called value-added approach; It aligns with OECD definition,"production, value added, OECD",
,,Income Approach,Conceptual,What does the income approach measure in GDP calculation?,"The income approach measures GDP by summing all incomes earned by factors of production such as wages, rent, interest, and profits.",It includes wages for labor; It includes rent for land; It includes interest for capital; It includes profits for entrepreneurship,"income, wages, profits, factors",
,,Expenditure Approach,Conceptual,What is the formula used in the expenditure approach to calculate GDP?,"GDP is calculated as the sum of consumption, investment, government spending, and net exports.",GDP equals C + I + G + (X − M); It includes only final goods and services; Intermediate goods are excluded; It reflects total spending in the economy,"expenditure, formula, CIGX-M",
,,Nominal vs Real GDP,Definition,What is the difference between nominal GDP and real GDP?,Nominal GDP uses current prices while real GDP adjusts for inflation to reflect true economic growth.,Nominal GDP uses current monetary values; Real GDP adjusts for inflation or deflation; GDP deflator is used for adjustment; Real GDP allows meaningful time comparison,"nominal, real GDP, inflation",
,,GDP vs GNI,Conceptual,How does GDP differ from gross national income (GNI)?,GDP measures production within a country's borders while GNI measures income earned by a country's residents regardless of location.,GDP is location-based; GNI is ownership-based; GDP includes foreign production within borders; GNI includes citizens' production abroad,"GDP vs GNI, location, ownership",
,,GDP Criticism,Cause-Effect,Why is GDP criticized for excluding unpaid work?,GDP is criticized because it excludes the value of household and unpaid labor that contributes economically.,Unpaid work is not included in GDP; Household labor substitutes paid services; Estimates show unpaid work can be large share of GDP; Exclusion affects policy decisions,"criticism, unpaid work, household labor",
,,,,,,,,
,Recession,Recession Definition,Definition,What is a recession in economics?,A recession is a business cycle contraction marked by a broad decline in economic activity.,It is a period of decline in economic activity; It is associated with a drop in spending; It reflects contraction in the business cycle; It affects multiple sectors of the economy,"recession, economic decline, business cycle",https://docs.google.com/document/d/1mH8Aw0SzoJjvUg6l-MTm4cG9G2GU7hEH/edit?usp=drive_link&ouid=116388014911878546617&rtpof=true&sd=true
,,Recession Causes,Cause-Effect,What commonly triggers a recession?,A recession is commonly triggered by a widespread drop in spending due to events like financial crises or shocks.,A drop in spending is a key trigger; Financial crises can initiate recessions; External trade shocks can contribute; Natural disasters or pandemics may cause downturns,"causes, demand shock, financial crisis",
,,US Definition,Definition,How is a recession defined in the United States?,"In the United States, a recession is a significant decline in economic activity lasting more than a few months across multiple indicators.",It includes decline in real GDP; It includes decline in employment; It includes decline in income and production; It must last more than a few months,"US recession, GDP, economic indicators",
,,UK Definition,Definition,How is a recession defined in the United Kingdom?,"In the United Kingdom, a recession is defined as two consecutive quarters of negative economic growth.",It uses real GDP as a measure; It requires two consecutive quarters; It is based on quarterly growth rates; It uses seasonally adjusted data,"UK recession, GDP growth, quarters",
,,NBER Role,Conceptual,What role does the NBER play in identifying recessions in the United States?,The NBER determines the start and end dates of recessions in the United States.,It is a private research organization; It defines recession based on multiple indicators; It identifies peaks and troughs; It is considered the official arbiter,"NBER, recession dating, US economy",
,,Recession Attributes,Conceptual,What economic components typically decline during a recession?,"GDP components such as consumption, investment, government spending, and net exports typically decline during a recession.",GDP includes multiple components; Consumption declines during recessions; Investment decisions are affected; Net exports may decrease,"GDP components, consumption, investment",
,,Economic Depression,Definition,What distinguishes a recession from an economic depression?,An economic depression is a severe or prolonged recession with significant GDP decline or long duration.,Depression may involve GDP drop of around 10%; It can last three or four years; It is more severe than recession; Causes and cures may differ,"depression, severe recession, GDP decline",
,,Front End Phase,Conceptual,What characterizes the front end of a recession?,"The front end of a recession is marked by early declines in economic indicators like GDP, employment, and consumer spending.",GDP growth starts declining; Employment rates begin to fall; Consumer spending decreases; Business investment weakens,"early recession, indicators, economic slowdown",
,,Back End Phase,Conceptual,What characterizes the back end of a recession?,The back end of a recession is the recovery phase where economic indicators begin to improve.,It occurs after the economic trough; Employment starts increasing; GDP stabilizes; Business investment rises,"recovery, economic growth, post-recession",
,,Balance Sheet Recession,Definition,What is a balance sheet recession?,A balance sheet recession occurs when consumers and firms prioritize paying down debt instead of spending or investing.,It is caused by excessive debt or asset price collapse; Consumers focus on saving rather than spending; Investment declines significantly; It slows overall economic activity,"balance sheet recession, debt, savings",
,,,,,,,,
,Central banks,Central Bank Definition,Definition,What is a central bank?,A central bank is an institution that manages the monetary policy of a country or monetary union.,Central bank is also called reserve bank or monetary authority; It manages monetary policy of a country or union; It is distinct from commercial banks; It operates at national or monetary union level,"central bank, monetary policy, institution",https://drive.google.com/file/d/1G0-tgAAwaH5Lju_NveW0G3ODlpGoak2B/view?usp=drive_link
,,Monetary Authority Role,Conceptual,What unique power does a central bank have over the monetary base?,A central bank has a monopoly on increasing the monetary base.,Central banks control issuance of base money; They can expand money supply; Commercial banks do not have this monopoly; This power distinguishes them from other banks,"monetary base, monopoly, money supply",
,,Regulatory Function,Conceptual,What supervisory roles do central banks perform?,Central banks supervise and regulate commercial banks to ensure financial stability and prevent crises.,They monitor commercial banks; They aim to prevent bank runs; They enforce policies against fraud and money laundering; They support financial system stability,"regulation, supervision, bank stability",
,,Central Bank Independence,Conceptual,Why are central banks often made independent from political interference?,Central banks are made independent to prevent short-term political influence on monetary policy.,Governments may influence policy for elections; Independence improves policy credibility; Legislative bodies still exercise oversight; Independence reduces risk of inflationary bias,"independence, political interference, credibility",
,,Historical Emergence,Definition,When did central banks fully emerge as a distinct category of institutions?,Central banks fully emerged as a distinct category in the 20th century.,Concept evolved gradually over time; Clear definition formed after World War I; Earlier institutions had partial roles; Full distinction occurred in 20th century,"history, emergence, 20th century",
,,Early Central Banks,Conceptual,Which institutions are considered early examples of central banks?,Municipal banks like Taula de canvi de Barcelona and Bank of Amsterdam are considered early central banks.,Taula de canvi de Barcelona was established in 1401; Bank of Amsterdam was founded in 1609; These banks enabled cashless payments; They supported monetary stability and trade,"early banks, municipal banks, history",
,,Primary Objective,Definition,What is the primary objective of most central banks?,The primary objective of most central banks is to maintain price stability.,Price stability often targets inflation around 2%; Inflation represents currency devaluation; Stable prices support economic planning; It is a core mandate set by policy,"price stability, inflation, objective",
,,Monetary Policy Tools,Conceptual,What is the main tool used by central banks to influence economic activity?,The main tool is the administered interest rate on deposits held with the central bank.,Interest rates influence borrowing and lending; Lower rates encourage spending and investment; Higher rates reduce inflationary pressure; It affects commercial bank rates,"interest rate, monetary policy, tool",
,,Open Market Operations,Conceptual,How do central banks control money supply through open market operations?,Central banks control money supply by buying and selling financial instruments like government bonds.,Purchases increase money circulation; Sales reduce money circulation; Transactions involve treasury bills and bonds; Deposits at central bank convert into currency,"open market operations, money supply, bonds",
,,Central Bank Functions,Conceptual,What are the key functions of central banks beyond monetary policy?,"Central banks also supervise banking systems, provide financial services, and act as a bank of banks.",They provide liquidity to banks; They manage currency issuance; They facilitate fund transfers; They oversee banking sector health,"functions, bank of banks, supervision",
,,,,,,,,
,Interest rates,Interest Rate Definition,Definition,What is an interest rate according to the document?,"An interest rate is the amount of interest due per period as a proportion of the amount lent, deposited, or borrowed.","Interest rate is expressed per period; It is proportional to the principal amount; It is often annualized; It applies to lending, borrowing, or deposits","interest rate, proportion, principal, annualized",https://docs.google.com/document/d/1mZd2fcDxyWrrTApiYN8TGX06p-21-_p8/edit?usp=drive_link&ouid=116388014911878546617&rtpof=true&sd=true
,,Interest Components,Conceptual,What variables determine total interest along with interest rates?,"Total interest is determined by principal sum, compounding frequency, and length of time.",Principal is the base amount; Compounding frequency affects accumulation; Time duration impacts total interest; Interest rate works alongside these variables,"principal, compounding, time, total interest",
,,Nominal vs Real Rate,Definition,What is the difference between nominal and real interest rates?,"The nominal interest rate does not adjust for inflation, while the real interest rate accounts for inflation.",Nominal rate ignores inflation; Real rate considers purchasing power; Real rate compares value over time; Inflation affects real returns,"nominal rate, real rate, inflation, purchasing power",
,,Fisher Equation,Conceptual,What does the Fisher equation represent?,The Fisher equation expresses the real interest rate as a function of nominal interest rate and inflation.,"Formula relates real, nominal, and inflation rates; It applies ex ante and ex post; It adjusts for purchasing power; Linear approximation exists for low rates","Fisher equation, inflation, real rate, nominal rate",
,,APR vs EAPR,Definition,What is the difference between nominal APR and effective APR (EAPR)?,"The effective APR accounts for fees and compounding, while nominal APR does not.",EAPR includes compounding effects; EAPR includes fees; Nominal APR excludes these adjustments; APR is annualized rate measure,"APR, EAPR, compounding, fees",
,,Monetary Policy Role,Conceptual,How do central banks use interest rates in monetary policy?,"Central banks adjust interest rates to influence investment, consumption, inflation, and unemployment.",Lower rates increase investment and consumption; Rates influence inflation control; Rates affect unemployment levels; They are a key macroeconomic tool,"monetary policy, central bank, inflation, investment",
,,Zero Interest Rate Policy,Definition,What is a zero interest-rate policy (ZIRP)?,ZIRP is a central bank policy of setting interest rates near zero.,It represents very low target rates; It limits conventional monetary policy; It was used during financial crises; It aims to stimulate economic activity,"ZIRP, central bank, low rates, policy",
,,Negative Interest Rates,Conceptual,Under what condition can real interest rates become negative?,Real interest rates become negative when nominal interest rates are below inflation.,Real rate depends on inflation adjustment; Inflation exceeding nominal rate causes negativity; It reduces real value of savings; It can result from policy actions,"negative rates, inflation, nominal rate, real rate",
,,Interest Rate Model,Conceptual,What components make up the basic interest rate pricing model?,"The model includes real interest rate, expected inflation, risk premium, and liquidity premium.",Real rate is base return; Expected inflation adjusts future value; Risk premium compensates uncertainty; Liquidity premium reflects asset convertibility,"pricing model, risk premium, inflation, liquidity",
,,Interest Rate Spread,Definition,What is the spread of interest rates?,The spread is the difference between the lending rate and the deposit rate.,Lending rate is charged on loans; Deposit rate is paid on savings; Spread covers bank costs; Negative spread occurs when deposit rate exceeds lending rate,"spread, lending rate, deposit rate, banking",
,,,,,,,,
,Inflation,Inflation Definition,Definition,What is inflation in economics?,Inflation is an increase in the average price of goods and services measured by a price index.,Inflation refers to a rise in the general price level; It is measured using a price index such as CPI; It represents an increase in prices of goods and services; It reflects overall economic price changes,"inflation, price level, CPI",https://drive.google.com/file/d/1tKXa_zhNHlCU7U35qlTWWWhhx_vndBrI/view?usp=drive_link
,,Purchasing Power,Conceptual,How does inflation affect the purchasing power of money?,Inflation reduces the purchasing power of money so each unit buys fewer goods and services.,Rising prices reduce the value of currency; Each unit of money buys fewer goods; Inflation directly impacts purchasing ability; It reflects a decline in real value of money,"purchasing power, currency value, inflation",
,,Inflation Rate,Definition,What is the inflation rate?,The inflation rate is the annualized percentage change in a general price index.,Inflation rate measures percentage change in prices; It is calculated over a time period; It uses a general price index; It is commonly expressed annually,"inflation rate, price index, percentage change",
,,Causes of Inflation,Cause-Effect,What factors cause inflation according to the document?,"Inflation is caused by changes in money supply, demand shocks, supply shocks, interest rates, and inflation expectations.",Increase in money supply contributes to inflation; Demand shocks affect price levels; Supply shocks like energy crises impact prices; Inflation expectations can be self-fulfilling,"causes, money supply, demand shock, supply shock",
,,Deflation,Definition,What is deflation?,Deflation is a decrease in the general price level of goods and services.,Deflation is the opposite of inflation; It involves falling prices; It reflects decreasing price levels; It affects purchasing power differently than inflation,"deflation, price decrease, economy",
,,Price Index Measurement,Conceptual,How is inflation commonly measured?,Inflation is commonly measured using price indices such as the Consumer Price Index (CPI).,CPI measures average price changes; Price indices represent a basket of goods; Inflation uses broad price indices; Measurement reflects overall economic prices,"CPI, price index, measurement",
,,Effects of Inflation,Conceptual,What are the general effects of inflation on the economy?,Inflation decreases purchasing power and redistributes income among different economic groups.,Inflation reduces real value of money; Fixed income groups lose purchasing power; Asset holders may benefit from rising prices; Inflation affects sectors differently,"effects, income distribution, purchasing power",
,,Positive Effects,Conceptual,What are some positive effects of moderate inflation?,Moderate inflation can reduce unemployment and encourage investment and borrowing.,Inflation reduces unemployment due to wage rigidity; It encourages loans over money hoarding; It provides flexibility in monetary policy; It helps avoid deflation inefficiencies,"benefits, unemployment, investment",
,,Negative Effects,Conceptual,What are the negative effects of high inflation?,"High inflation causes uncertainty, discourages investment, and reduces economic efficiency.",Inflation increases uncertainty about future prices; It discourages saving and investment; It creates inefficiencies in markets; It complicates long-term planning,"high inflation, uncertainty, inefficiency",
,,Monetary Policy,Conceptual,How do central banks control inflation?,Central banks control inflation by adjusting interest rates and using monetary policy tools.,Central banks aim for low and stable inflation; They use interest rates to influence demand; Monetary policy affects inflation trends; Open market operations are also used,"central bank, monetary policy, interest rates",
,,,,,,,,
,Fiscal policy,Fiscal Policy Definition,Definition,What is fiscal policy according to the document?,Fiscal policy is the use of government revenue collection and expenditure to influence a country's economy.,Fiscal policy involves taxes or tax cuts; Fiscal policy includes government spending decisions; It is used to influence economic outcomes; It is defined within economics and political science,"fiscal policy, taxation, government spending",https://drive.google.com/file/d/1t-99_lNn3MEhc024FWyhNnIZmztYwYOi/view?usp=drive_link
,,Keynesian Foundation,Conceptual,On whose theory is fiscal policy primarily based?,Fiscal policy is based on the theories of John Maynard Keynes.,Keynes was a British economist; His theory is known as Keynesian economics; It focuses on aggregate demand; It supports government intervention in the economy,"Keynesian economics, aggregate demand, John Maynard Keynes",
,,Purpose of Fiscal Policy,Conceptual,What macroeconomic variables does fiscal policy aim to influence?,Fiscal policy aims to influence aggregate demand and economic activity.,Changes in taxation affect demand; Government spending impacts economic activity; Fiscal policy targets macroeconomic variables; It stabilizes economic performance,"aggregate demand, economic activity, macroeconomics",
,,Fiscal vs Monetary Policy,Conceptual,How does fiscal policy differ from monetary policy?,"Fiscal policy deals with taxation and government spending, while monetary policy deals with money supply and interest rates.",Fiscal policy is managed by government departments; Monetary policy is managed by central banks; Fiscal policy uses taxes and spending; Monetary policy controls interest rates,"fiscal policy, monetary policy, interest rates",
,,Policy Implementation Speed,Cause-Effect,Why is monetary policy often quicker to implement than fiscal policy?,Monetary policy is quicker because interest rates can be adjusted more frequently than government spending decisions.,Interest rates can be set monthly; Fiscal decisions require planning allocation; Government spending decisions take longer; Central banks act faster than governments,"policy speed, interest rates, fiscal delay",
,,Liquidity Trap Role,Cause-Effect,What role does fiscal policy play during a liquidity trap?,Fiscal policy helps create demand when monetary policy becomes ineffective.,Liquidity trap reduces effectiveness of interest rate cuts; Banks may not lend during downturns; Consumers may reduce spending; Government spending stimulates demand,"liquidity trap, demand stimulation, recession",
,,Fiscal Policy Stances,Definition,What are the possible stances of fiscal policy?,"Fiscal policy can be expansionary, contractionary, or neutral.",Expansionary increases growth through spending or tax cuts; Contractionary reduces inflation via higher taxes or lower spending; Neutral maintains balance over business cycles; Stances depend on economic conditions,"expansionary, contractionary, neutral",
,,Funding Fiscal Policy,Conceptual,What are common methods of funding government expenditure?,"Government expenditure can be funded through borrowing, prior surpluses, or balanced budget constraints.",Borrowing includes issuing bonds; Surpluses can be saved and reused; Balanced budget limits deficits; Funding methods affect debt levels,"borrowing, surplus, budget deficit",
,,Fiscal Policy in Developing Economies,Conceptual,How is fiscal policy used differently in developing economies?,"In developing economies, fiscal policy is used to generate additional economic growth through public investment.",Focus is on infrastructure and education; Aims to improve human capital; Used for long-term growth; Resource constraints limit implementation,"developing economies, human capital, public investment",
,,Crowding Out Effect,Cause-Effect,What is the crowding out effect in fiscal policy?,The crowding out effect occurs when government borrowing raises interest rates and reduces private investment.,Government borrowing increases demand for credit; Higher interest rates result; Private investment decreases; It offsets fiscal stimulus impact,"crowding out, interest rates, investment",
,,,,,,,,
,Monetary policy,Monetary Policy Definition,Definition,What is monetary policy?,Monetary policy is the policy adopted by a monetary authority to influence financial conditions to achieve objectives like high employment and price stability.,Monetary policy is conducted by a monetary authority; It aims at objectives such as high employment; It targets price stability defined as low and stable inflation; It influences monetary and financial conditions,"monetary policy, price stability, employment, inflation",https://docs.google.com/document/d/1AV_vo9x6e6tPoeZXQq01QOTvxvEHlhIV/edit?usp=drive_link&ouid=116388014911878546617&rtpof=true&sd=true
,,Monetary Policy Objectives,Conceptual,What are the broader objectives of monetary policy?,"The broader objectives include high employment, price stability, economic stability, and predictable exchange rates.",High employment is a key goal; Price stability refers to low and stable inflation; Monetary policy may contribute to economic stability; It may aim to maintain predictable exchange rates,"objectives, employment, inflation, exchange rate",
,,Monetary Policy Tools,Definition,What is the primary tool used in monetary policy?,Interest-rate targeting is generally the primary tool used in monetary policy.,Central banks adjust their own interest rates; Interest rates influence economic activity; Interest rates affect employment and inflation; Open market operations can indirectly influence rates,"interest rates, tools, central bank, targeting",
,,Monetary Transmission Mechanism,Conceptual,How do interest rates affect the economy?,Interest rates affect economic activity through channels collectively known as the monetary transmission mechanism.,Interest rates influence borrowing and spending; They impact employment levels; They affect inflation rates; They influence exchange rates,"transmission mechanism, interest rates, inflation, employment",
,,Types of Monetary Policy,Definition,What are expansionary and contractionary monetary policies?,"Expansionary policy stimulates economic activity, while contractionary policy reduces economic activity.",Expansionary policy lowers interest rates; It increases employment and inflation; Contractionary policy raises interest rates; It decreases employment and inflation,"expansionary, contractionary, interest rates, economy",
,,Monetary vs Fiscal Policy,Conceptual,How does monetary policy differ from fiscal policy?,"Monetary policy uses financial channels like interest rates, while fiscal policy uses taxation and government spending.",Monetary policy affects interest rates and exchange rates; Fiscal policy relies on taxation changes; Fiscal policy involves government spending; Both manage business cycles differently,"fiscal policy, monetary policy, taxation, spending",
,,Gold Standard,Definition,What is the gold standard in monetary policy?,The gold standard is a system where currency value is fixed relative to gold and maintained by government commitment to buy or sell gold at a fixed price.,Currency value is tied to gold; Government maintains fixed price of gold; It is a type of fixed exchange rate system; It required frequent interest rate adjustments,"gold standard, currency, fixed rate, gold",
,,Inflation Targeting,Definition,What is inflation targeting?,Inflation targeting is a monetary policy where the central bank adjusts interest rates to keep inflation near a predefined target.,First adopted by New Zealand in 1990; Central banks adjust interest rates to control inflation; It focuses directly on inflation rather than indirect variables; It is widely used by developed countries,"inflation targeting, central bank, interest rates, policy",
,,Open Market Operations,Definition,What are open market operations?,Open market operations are central bank actions of buying or selling securities to influence money supply and interest rates.,Buying securities increases money supply; Selling securities decreases money supply; It affects the monetary base; It influences interest rates and exchange rates,"open market operations, securities, money supply, interest rates",
,,Reserve Requirements,Definition,What are reserve requirements in monetary policy?,Reserve requirements are regulations that require banks to hold a portion of deposits as reserves to ensure stability.,Banks must hold a fraction of deposits as reserves; Introduced to prevent bank runs; They limit excessive lending; Some central banks have abolished them in recent decades,"reserve requirements, banks, deposits, regulation",
,,,,,,,,
,Quantitative easing,Quantitative Easing Definition,Definition,What is quantitative easing?,Quantitative easing is a monetary policy where a central bank purchases predetermined amounts of financial assets to stimulate economic activity.,"It involves buying government bonds, company shares, or other financial assets; It is used to artificially stimulate economic activity; It increases liquidity in the financial system","QE, monetary policy, liquidity, central bank",https://docs.google.com/document/d/1eGvHQKzv7o5VIhO8bAMt0PluDuEHpXKl/edit?usp=drive_link&ouid=116388014911878546617&rtpof=true&sd=true
,,Purpose of QE,Conceptual,Why is quantitative easing used during economic downturns?,Quantitative easing is used to mitigate recessions when inflation is very low or negative.,It is applied when inflation is low or negative; It helps stimulate economic activity during recessions; It aims to prevent inflation from falling below targets,"recession, inflation, stimulus, economy",
,,Mechanism of QE,Conceptual,How does quantitative easing affect financial markets?,"Quantitative easing raises asset prices, lowers yields, and increases money supply.",Central banks buy assets from financial institutions; Asset prices increase as demand rises; Yields decrease due to higher prices; Money supply increases in the economy,"asset prices, yields, money supply, markets",
,,QE vs Conventional Policy,Conceptual,How does quantitative easing differ from conventional monetary policy?,Quantitative easing involves large-scale purchases of riskier or long-term assets instead of short-term government bonds.,Conventional policy focuses on short-term government bonds; QE targets longer-term or riskier assets; QE operates at a larger scale over a set period,"conventional policy, long-term assets, scale, bonds",
,,Liquidity Trap,Cause-Effect,Why do central banks use QE when interest rates are near zero?,Central banks use QE because very low interest rates create a liquidity trap where further rate cuts are ineffective.,Interest rates near zero limit further reductions; Liquidity trap occurs when people prefer holding cash; QE is used as an alternative to stimulate the economy,"liquidity trap, zero rates, stimulus, policy",
,,QE Implementation,Conceptual,How do central banks implement quantitative easing?,Central banks implement QE by purchasing predetermined quantities of financial assets from private institutions.,Purchases are made regardless of interest rates; Assets are bought from financial markets; Banks receive excess reserves; The policy increases liquidity and lending potential,"asset purchase, reserves, liquidity, banks",
,,History of QE,Definition,When was quantitative easing first widely implemented?,Quantitative easing was first widely implemented in Japan in the early 2000s.,Bank of Japan introduced QE in 2001; It was used to combat deflation; Later adopted by Western economies after 2008 crisis,"Japan, 2001, deflation, history",
,,Effects of QE,Cause-Effect,What are the economic effects of quantitative easing?,"Quantitative easing can lower long-term interest rates, increase GDP growth, and modestly raise inflation.",It reduces long-term interest rates; It supports economic activity; It can increase inflation slightly; It boosts investment and credit availability,"GDP, inflation, interest rates, growth",
,,Risks of QE,Cause-Effect,What are the risks associated with quantitative easing?,Quantitative easing may cause excessive inflation or fail if banks do not lend.,Overestimating easing can create too much money; Banks may hoard reserves instead of lending; Inflationary pressures may build over time,"inflation risk, lending, reserves, failure",
