method,technique,question_id,question,hit@k,mrr,precision@k,ndcg@k,recall@k,avg_rank,miss,redundancy,diversity,boundary,token_cost,latency_ms,context_relevance,faithfulness,answer_correctness
fixed_size,hybrid,9,What types of bank accounts are mentioned?,1,1.0,0.4,0.7654,1.0,1.0,0,0.6248,0.3752,0.2,810,9.948,0.6312,0.4834,0.5374
fixed_size,dense_rerank,9,What types of bank accounts are mentioned?,1,1.0,0.4,0.6714,1.0,1.0,0,0.651,0.349,0.2,740,1371.958,0.6427,0.5009,0.5374
fixed_size,hybrid_rerank,9,What types of bank accounts are mentioned?,1,1.0,0.4,0.6714,1.0,1.0,0,0.651,0.349,0.2,740,1873.326,0.6427,0.5009,0.5374
overlapping,dense,0,What does a bank do with deposits and loans?,1,0.3333,0.2,0.2346,1.0,3.0,0,0.7219,0.2781,0.2,861,6.892,0.6917,0.6059,0.589
overlapping,hybrid,0,What does a bank do with deposits and loans?,1,0.25,0.2,0.2021,1.0,4.0,0,0.7057,0.2943,0.2,845,12.917,0.6894,0.6201,0.589
overlapping,dense_rerank,0,What does a bank do with deposits and loans?,1,0.2,0.2,0.1815,1.0,5.0,0,0.7195,0.2805,0.2,899,1863.475,0.6813,0.6134,0.5869
overlapping,hybrid_rerank,0,What does a bank do with deposits and loans?,1,0.2,0.2,0.1815,1.0,5.0,0,0.7195,0.2805,0.2,899,1718.1,0.6813,0.6134,0.5869
overlapping,dense,1,What role do banks play in the economy?,1,1.0,0.2,0.6131,1.0,1.0,0,0.7222,0.2778,0.2,824,7.578,0.6477,0.5061,0.5397
overlapping,hybrid,1,What role do banks play in the economy?,1,1.0,0.2,0.6131,1.0,1.0,0,0.6227,0.3773,0.4,707,14.393,0.6181,0.5046,0.5397
overlapping,dense_rerank,1,What role do banks play in the economy?,1,1.0,0.2,0.6131,1.0,1.0,0,0.6844,0.3156,0.2,778,1675.964,0.6073,0.4896,0.5397
overlapping,hybrid_rerank,1,What role do banks play in the economy?,1,1.0,0.2,0.6131,1.0,1.0,0,0.6844,0.3156,0.2,778,1707.203,0.6073,0.4896,0.5397
overlapping,dense,2,What regulatory requirements are banks subject to?,0,0.0,0.0,0.0,0.0,,1,0.6605,0.3395,0.4,871,7.305,0.6664,0.4316,0.4499
overlapping,hybrid,2,What regulatory requirements are banks subject to?,1,0.3333,0.2,0.2346,1.0,3.0,0,0.6569,0.3431,0.4,847,14.636,0.6559,0.4395,0.4503
overlapping,dense_rerank,2,What regulatory requirements are banks subject to?,1,0.5,0.2,0.2961,1.0,2.0,0,0.7096,0.2904,0.2,769,1632.453,0.6536,0.4661,0.4503
overlapping,hybrid_rerank,2,What regulatory requirements are banks subject to?,1,0.5,0.2,0.2961,1.0,2.0,0,0.7096,0.2904,0.2,769,1729.5,0.6536,0.4661,0.4503
overlapping,dense,3,How do banks handle customer payments?,1,1.0,0.2,0.4693,0.6667,1.0,0,0.7124,0.2876,0.2,842,7.012,0.6742,0.6122,0.5707
overlapping,hybrid,3,How do banks handle customer payments?,1,1.0,0.2,0.4693,0.6667,1.0,0,0.7055,0.2945,0.2,809,13.128,0.6689,0.5934,0.5707
overlapping,dense_rerank,3,How do banks handle customer payments?,1,1.0,0.2,0.4693,0.6667,1.0,0,0.6999,0.3001,0.2,721,1651.754,0.6587,0.6009,0.5707
overlapping,hybrid_rerank,3,How do banks handle customer payments?,1,1.0,0.2,0.4693,0.6667,1.0,0,0.6999,0.3001,0.2,721,1661.531,0.6587,0.6009,0.5707
overlapping,dense,4,How is money created in banking systems?,1,1.0,0.2,0.4693,1.0,1.0,0,0.7424,0.2576,0.2,915,7.131,0.6606,0.5665,0.5202
overlapping,hybrid,4,How is money created in banking systems?,1,1.0,0.2,0.4693,1.0,1.0,0,0.6174,0.3826,0.4,933,14.53,0.6104,0.5494,0.5133
overlapping,dense_rerank,4,How is money created in banking systems?,1,1.0,0.2,0.4693,1.0,1.0,0,0.6346,0.3654,0.6,770,1641.854,0.6126,0.5427,0.5052
overlapping,hybrid_rerank,4,How is money created in banking systems?,1,1.0,0.2,0.4693,1.0,1.0,0,0.6346,0.3654,0.6,770,1660.29,0.6126,0.5427,0.5052
overlapping,dense,5,How do banks earn profit from lending?,1,1.0,0.2,0.6131,0.5,1.0,0,0.707,0.293,0.2,890,7.412,0.6575,0.5216,0.5367
overlapping,hybrid,5,How do banks earn profit from lending?,1,1.0,0.2,0.6131,0.5,1.0,0,0.6777,0.3223,0.2,743,14.277,0.6561,0.502,0.5367
overlapping,dense_rerank,5,How do banks earn profit from lending?,1,1.0,0.2,0.6131,0.5,1.0,0,0.7019,0.2981,0.4,762,1610.171,0.6445,0.5089,0.5367
overlapping,hybrid_rerank,5,How do banks earn profit from lending?,1,1.0,0.2,0.6131,0.5,1.0,0,0.7019,0.2981,0.4,762,1666.55,0.6445,0.5089,0.5367
overlapping,dense,6,What conditions define liquidity risk in banking?,1,1.0,0.2,0.6131,1.0,1.0,0,0.6937,0.3063,0.2,940,7.679,0.5875,0.4925,0.5768
overlapping,hybrid,6,What conditions define liquidity risk in banking?,1,1.0,0.2,0.6131,1.0,1.0,0,0.6759,0.3241,0.4,843,14.608,0.5812,0.4952,0.5768
overlapping,dense_rerank,6,What conditions define liquidity risk in banking?,1,1.0,0.2,0.6131,1.0,1.0,0,0.6696,0.3304,0.6,793,1624.833,0.5774,0.4977,0.5768
overlapping,hybrid_rerank,6,What conditions define liquidity risk in banking?,1,1.0,0.2,0.6131,1.0,1.0,0,0.6696,0.3304,0.6,793,1233.246,0.5774,0.4977,0.5768
overlapping,dense,7,What components form bank capital?,1,1.0,0.2,0.4693,1.0,1.0,0,0.6935,0.3065,0.4,881,7.456,0.5713,0.3417,0.4332
overlapping,hybrid,7,What components form bank capital?,1,1.0,0.2,0.4693,1.0,1.0,0,0.6775,0.3225,0.4,928,14.455,0.5659,0.3527,0.4374
overlapping,dense_rerank,7,What components form bank capital?,1,1.0,0.2,0.4693,1.0,1.0,0,0.6295,0.3705,0.6,795,1569.944,0.5521,0.3552,0.4332
overlapping,hybrid_rerank,7,What components form bank capital?,1,1.0,0.2,0.4693,1.0,1.0,0,0.6295,0.3705,0.6,795,1646.714,0.5521,0.3552,0.4332
overlapping,dense,8,Where did modern banking evolve?,1,1.0,0.4,0.6508,1.0,1.0,0,0.671,0.329,0.6,878,7.647,0.5962,0.3991,0.4104
overlapping,hybrid,8,Where did modern banking evolve?,1,1.0,0.4,0.6508,1.0,1.0,0,0.6454,0.3546,0.6,852,13.96,0.5888,0.3601,0.4035
overlapping,dense_rerank,8,Where did modern banking evolve?,1,1.0,0.2,0.4693,1.0,1.0,0,0.601,0.399,0.8,739,1584.954,0.5755,0.369,0.4143
overlapping,hybrid_rerank,8,Where did modern banking evolve?,1,1.0,0.2,0.4693,1.0,1.0,0,0.601,0.399,0.8,739,1609.807,0.5755,0.369,0.4143
overlapping,dense,9,What types of bank accounts are mentioned?,1,1.0,0.4,0.6508,1.0,1.0,0,0.6838,0.3162,0.2,871,6.842,0.6751,0.4848,0.5143
overlapping,hybrid,9,What types of bank accounts are mentioned?,1,1.0,0.6,0.9675,1.0,1.0,0,0.6603,0.3397,0.2,860,13.147,0.6617,0.4802,0.5226
overlapping,dense_rerank,9,What types of bank accounts are mentioned?,1,1.0,0.6,0.9469,1.0,1.0,0,0.6806,0.3194,0.2,851,1610.616,0.6667,0.4919,0.5226
overlapping,hybrid_rerank,9,What types of bank accounts are mentioned?,1,1.0,0.6,0.9469,1.0,1.0,0,0.6806,0.3194,0.2,851,1642.078,0.6667,0.4919,0.5226
sentence,dense,0,What does a bank do with deposits and loans?,1,0.25,0.2,0.2021,1.0,4.0,0,0.7349,0.2651,1.0,735,7.069,0.6909,0.6318,0.6052
sentence,hybrid,0,What does a bank do with deposits and loans?,1,0.2,0.2,0.1815,1.0,5.0,0,0.6943,0.3057,1.0,690,13.628,0.6769,0.6276,0.599
sentence,dense_rerank,0,What does a bank do with deposits and loans?,0,0.0,0.0,0.0,0.0,,1,0.7083,0.2917,1.0,473,2201.014,0.6786,0.6246,0.6052
sentence,hybrid_rerank,0,What does a bank do with deposits and loans?,0,0.0,0.0,0.0,0.0,,1,0.7083,0.2917,1.0,473,2032.542,0.6786,0.6246,0.6052
sentence,dense,1,What role do banks play in the economy?,1,1.0,0.2,0.6131,1.0,1.0,0,0.6833,0.3167,1.0,653,7.181,0.6371,0.5043,0.5353
sentence,hybrid,1,What role do banks play in the economy?,1,1.0,0.2,0.6131,1.0,1.0,0,0.6122,0.3878,1.0,669,13.281,0.6158,0.4976,0.5353
sentence,dense_rerank,1,What role do banks play in the economy?,1,0.2,0.2,0.2372,1.0,5.0,0,0.6579,0.3421,1.0,588,1792.335,0.6156,0.5174,0.5353
sentence,hybrid_rerank,1,What role do banks play in the economy?,1,0.2,0.2,0.2372,1.0,5.0,0,0.6579,0.3421,1.0,588,1852.272,0.6156,0.5174,0.5353
sentence,dense,2,What regulatory requirements are banks subject to?,0,0.0,0.0,0.0,0.0,,1,0.6744,0.3256,1.0,1458,7.327,0.6582,0.4137,0.4125
sentence,hybrid,2,What regulatory requirements are banks subject to?,1,0.3333,0.2,0.2346,1.0,3.0,0,0.603,0.397,1.0,918,14.069,0.6216,0.4534,0.4811
sentence,dense_rerank,2,What regulatory requirements are banks subject to?,1,1.0,0.2,0.4693,1.0,1.0,0,0.6255,0.3745,1.0,482,1928.443,0.6308,0.4625,0.4811
sentence,hybrid_rerank,2,What regulatory requirements are banks subject to?,1,1.0,0.2,0.4693,1.0,1.0,0,0.6255,0.3745,1.0,482,1731.659,0.6308,0.4625,0.4811
sentence,dense,3,How do banks handle customer payments?,1,1.0,0.2,0.4693,0.6667,1.0,0,0.741,0.259,1.0,776,6.794,0.6709,0.5966,0.5776
sentence,hybrid,3,How do banks handle customer payments?,1,1.0,0.2,0.4693,0.6667,1.0,0,0.6678,0.3322,1.0,1153,13.532,0.6394,0.578,0.5776
sentence,dense_rerank,3,How do banks handle customer payments?,1,1.0,0.2,0.4693,0.6667,1.0,0,0.6885,0.3115,1.0,479,1643.321,0.6522,0.5981,0.5776
sentence,hybrid_rerank,3,How do banks handle customer payments?,1,1.0,0.2,0.4693,0.6667,1.0,0,0.6885,0.3115,1.0,479,1595.858,0.6522,0.5981,0.5776
sentence,dense,4,How is money created in banking systems?,1,1.0,0.2,0.4693,1.0,1.0,0,0.7355,0.2645,1.0,587,7.315,0.6664,0.5814,0.5846
sentence,hybrid,4,How is money created in banking systems?,1,1.0,0.2,0.4693,1.0,1.0,0,0.6491,0.3509,1.0,952,13.933,0.6364,0.583,0.582
sentence,dense_rerank,4,How is money created in banking systems?,1,1.0,0.2,0.4693,1.0,1.0,0,0.6396,0.3604,1.0,567,1503.379,0.6357,0.5902,0.582
sentence,hybrid_rerank,4,How is money created in banking systems?,1,1.0,0.2,0.4693,1.0,1.0,0,0.6396,0.3604,1.0,567,1727.003,0.6357,0.5902,0.582
sentence,dense,5,How do banks earn profit from lending?,1,1.0,0.2,0.6131,0.5,1.0,0,0.6988,0.3012,1.0,526,5.646,0.6684,0.5486,0.6042
sentence,hybrid,5,How do banks earn profit from lending?,1,1.0,0.2,0.6131,0.5,1.0,0,0.6988,0.3012,1.0,526,10.908,0.6684,0.5486,0.6042
sentence,dense_rerank,5,How do banks earn profit from lending?,1,0.5,0.2,0.3869,0.5,2.0,0,0.7006,0.2994,1.0,457,1690.116,0.6683,0.5389,0.6042
sentence,hybrid_rerank,5,How do banks earn profit from lending?,1,0.5,0.2,0.3869,0.5,2.0,0,0.7006,0.2994,1.0,457,1686.963,0.6683,0.5389,0.6042
sentence,dense,6,What conditions define liquidity risk in banking?,1,1.0,0.2,0.6131,1.0,1.0,0,0.641,0.359,1.0,1016,5.307,0.5833,0.4878,0.577
sentence,hybrid,6,What conditions define liquidity risk in banking?,1,1.0,0.2,0.6131,1.0,1.0,0,0.6262,0.3738,1.0,1048,11.631,0.58,0.4973,0.577
sentence,dense_rerank,6,What conditions define liquidity risk in banking?,1,1.0,0.2,0.6131,1.0,1.0,0,0.6121,0.3879,1.0,494,1467.098,0.5635,0.5042,0.577
sentence,hybrid_rerank,6,What conditions define liquidity risk in banking?,1,1.0,0.2,0.6131,1.0,1.0,0,0.6121,0.3879,1.0,494,1695.79,0.5635,0.5042,0.577
sentence,dense,7,What components form bank capital?,1,1.0,0.2,0.4693,1.0,1.0,0,0.6477,0.3523,1.0,1065,6.218,0.5602,0.358,0.4193
sentence,hybrid,7,What components form bank capital?,1,1.0,0.2,0.4693,1.0,1.0,0,0.6497,0.3503,1.0,1060,12.472,0.5583,0.376,0.4213
sentence,dense_rerank,7,What components form bank capital?,1,0.5,0.2,0.2961,1.0,2.0,0,0.6139,0.3861,1.0,919,1710.666,0.551,0.3765,0.4239
sentence,hybrid_rerank,7,What components form bank capital?,1,0.5,0.2,0.2961,1.0,2.0,0,0.6139,0.3861,1.0,919,1469.739,0.551,0.3765,0.4239
sentence,dense,8,Where did modern banking evolve?,1,1.0,0.2,0.4693,1.0,1.0,0,0.6516,0.3484,1.0,721,4.376,0.5921,0.3928,0.4205
sentence,hybrid,8,Where did modern banking evolve?,1,1.0,0.2,0.4693,1.0,1.0,0,0.6047,0.3953,1.0,550,8.569,0.5887,0.3692,0.4125
sentence,dense_rerank,8,Where did modern banking evolve?,1,1.0,0.2,0.4693,1.0,1.0,0,0.6499,0.3501,1.0,597,1764.76,0.5905,0.4016,0.4205
sentence,hybrid_rerank,8,Where did modern banking evolve?,1,1.0,0.2,0.4693,1.0,1.0,0,0.6499,0.3501,1.0,597,1741.623,0.5905,0.4016,0.4205
sentence,dense,9,What types of bank accounts are mentioned?,1,1.0,0.6,1.0,1.0,1.0,0,0.6995,0.3005,1.0,1024,5.75,0.6816,0.5008,0.5334
sentence,hybrid,9,What types of bank accounts are mentioned?,1,1.0,0.8,1.1815,1.0,1.0,0,0.6847,0.3153,1.0,889,12.211,0.6687,0.4954,0.5309
sentence,dense_rerank,9,What types of bank accounts are mentioned?,1,1.0,0.8,1.2021,1.0,1.0,0,0.698,0.302,1.0,969,1689.688,0.6743,0.5135,0.5309
sentence,hybrid_rerank,9,What types of bank accounts are mentioned?,1,1.0,0.8,1.2021,1.0,1.0,0,0.698,0.302,1.0,969,1715.663,0.6743,0.5135,0.5309
paragraph,dense,0,What does a bank do with deposits and loans?,1,0.25,0.2,0.2021,1.0,4.0,0,0.6975,0.3025,1.0,653,5.373,0.6847,0.6234,0.6196
paragraph,hybrid,0,What does a bank do with deposits and loans?,0,0.0,0.0,0.0,0.0,,1,0.6832,0.3168,1.0,771,11.12,0.6633,0.6474,0.6207
paragraph,dense_rerank,0,What does a bank do with deposits and loans?,1,0.2,0.2,0.1815,1.0,5.0,0,0.7199,0.2801,0.8,922,1493.448,0.6715,0.6334,0.6207
paragraph,hybrid_rerank,0,What does a bank do with deposits and loans?,1,0.2,0.2,0.1815,1.0,5.0,0,0.7199,0.2801,0.8,922,1336.816,0.6715,0.6334,0.6207
paragraph,dense,1,What role do banks play in the economy?,1,1.0,0.2,0.6131,1.0,1.0,0,0.6513,0.3487,0.6,1189,5.128,0.6217,0.5004,0.5168
paragraph,hybrid,1,What role do banks play in the economy?,1,1.0,0.2,0.6131,1.0,1.0,0,0.6489,0.3511,0.6,1368,9.312,0.6053,0.4932,0.5168
paragraph,dense_rerank,1,What role do banks play in the economy?,1,1.0,0.2,0.6131,1.0,1.0,0,0.7012,0.2988,0.8,692,1484.328,0.6031,0.4615,0.5168
paragraph,hybrid_rerank,1,What role do banks play in the economy?,1,1.0,0.2,0.6131,1.0,1.0,0,0.7012,0.2988,0.8,692,1489.558,0.6031,0.4615,0.5168
paragraph,dense,2,What regulatory requirements are banks subject to?,0,0.0,0.0,0.0,0.0,,1,0.6743,0.3257,0.6,1073,5.552,0.6728,0.4593,0.448
paragraph,hybrid,2,What regulatory requirements are banks subject to?,1,0.5,0.2,0.2961,1.0,2.0,0,0.6665,0.3335,0.6,1315,10.292,0.6725,0.4493,0.448
paragraph,dense_rerank,2,What regulatory requirements are banks subject to?,1,0.25,0.2,0.2021,1.0,4.0,0,0.6627,0.3373,1.0,657,1411.515,0.6405,0.448,0.4427
paragraph,hybrid_rerank,2,What regulatory requirements are banks subject to?,1,0.25,0.2,0.2021,1.0,4.0,0,0.6627,0.3373,1.0,657,1440.758,0.6405,0.448,0.4427
paragraph,dense,3,How do banks handle customer payments?,1,1.0,0.2,0.4693,0.6667,1.0,0,0.6967,0.3033,0.8,495,4.659,0.6758,0.6227,0.5916
paragraph,hybrid,3,How do banks handle customer payments?,1,1.0,0.2,0.4693,0.6667,1.0,0,0.6728,0.3272,0.8,585,9.652,0.6583,0.5952,0.5916
paragraph,dense_rerank,3,How do banks handle customer payments?,1,1.0,0.2,0.4693,0.6667,1.0,0,0.6967,0.3033,0.8,495,1377.916,0.6758,0.6227,0.5916
paragraph,hybrid_rerank,3,How do banks handle customer payments?,1,1.0,0.2,0.4693,0.6667,1.0,0,0.6967,0.3033,0.8,495,1284.862,0.6758,0.6227,0.5916
paragraph,dense,4,How is money created in banking systems?,1,1.0,0.2,0.4693,1.0,1.0,0,0.7219,0.2781,0.8,743,5.236,0.6721,0.5878,0.5834
paragraph,hybrid,4,How is money created in banking systems?,1,1.0,0.2,0.4693,1.0,1.0,0,0.6865,0.3135,1.0,837,10.955,0.6446,0.606,0.5813
paragraph,dense_rerank,4,How is money created in banking systems?,1,1.0,0.2,0.4693,1.0,1.0,0,0.6996,0.3004,0.8,934,1429.881,0.6675,0.607,0.5813
paragraph,hybrid_rerank,4,How is money created in banking systems?,1,1.0,0.2,0.4693,1.0,1.0,0,0.6996,0.3004,0.8,934,1339.212,0.6675,0.607,0.5813
paragraph,dense,5,How do banks earn profit from lending?,1,1.0,0.2,0.6131,0.5,1.0,0,0.7276,0.2724,0.6,938,4.87,0.6742,0.5289,0.5296
paragraph,hybrid,5,How do banks earn profit from lending?,1,1.0,0.2,0.6131,0.5,1.0,0,0.7164,0.2836,0.8,851,12.152,0.6677,0.5339,0.5296
paragraph,dense_rerank,5,How do banks earn profit from lending?,1,1.0,0.2,0.6131,0.5,1.0,0,0.7164,0.2836,0.8,851,1428.78,0.6677,0.5339,0.5296
paragraph,hybrid_rerank,5,How do banks earn profit from lending?,1,1.0,0.2,0.6131,0.5,1.0,0,0.7164,0.2836,0.8,851,1308.652,0.6677,0.5339,0.5296
paragraph,dense,6,What conditions define liquidity risk in banking?,1,1.0,0.2,0.6131,1.0,1.0,0,0.6855,0.3145,0.8,1042,5.462,0.5755,0.4962,0.5708
paragraph,hybrid,6,What conditions define liquidity risk in banking?,1,1.0,0.2,0.6131,1.0,1.0,0,0.655,0.345,1.0,1252,11.182,0.5618,0.4737,0.5695
paragraph,dense_rerank,6,What conditions define liquidity risk in banking?,1,1.0,0.2,0.6131,1.0,1.0,0,0.6588,0.3412,1.0,871,1444.577,0.5604,0.4844,0.5708
paragraph,hybrid_rerank,6,What conditions define liquidity risk in banking?,1,1.0,0.2,0.6131,1.0,1.0,0,0.6588,0.3412,1.0,871,1301.313,0.5604,0.4844,0.5708
paragraph,dense,7,What components form bank capital?,1,1.0,0.2,0.4693,1.0,1.0,0,0.6711,0.3289,0.6,1313,4.734,0.5567,0.3595,0.4369
paragraph,hybrid,7,What components form bank capital?,1,1.0,0.2,0.4693,1.0,1.0,0,0.6708,0.3292,0.6,1210,9.177,0.5534,0.3555,0.4287
paragraph,dense_rerank,7,What components form bank capital?,1,1.0,0.2,0.4693,1.0,1.0,0,0.6826,0.3174,0.8,800,1424.78,0.5478,0.3582,0.4279
paragraph,hybrid_rerank,7,What components form bank capital?,1,1.0,0.2,0.4693,1.0,1.0,0,0.6826,0.3174,0.8,800,1354.861,0.5478,0.3582,0.4279
paragraph,dense,8,Where did modern banking evolve?,1,1.0,0.2,0.4693,1.0,1.0,0,0.5855,0.4145,1.0,924,5.811,0.5664,0.3508,0.4022
paragraph,hybrid,8,Where did modern banking evolve?,1,1.0,0.2,0.4693,1.0,1.0,0,0.5834,0.4166,1.0,1072,10.894,0.5532,0.3395,0.4082
paragraph,dense_rerank,8,Where did modern banking evolve?,1,0.2,0.2,0.1815,1.0,5.0,0,0.5741,0.4259,1.0,918,1304.729,0.5534,0.343,0.404
paragraph,hybrid_rerank,8,Where did modern banking evolve?,1,0.2,0.2,0.1815,1.0,5.0,0,0.5741,0.4259,1.0,918,1467.726,0.5534,0.343,0.404
paragraph,dense,9,What types of bank accounts are mentioned?,1,0.3333,0.4,0.4367,1.0,3.0,0,0.6708,0.3292,0.8,412,5.682,0.6211,0.4622,0.5028
paragraph,hybrid,9,What types of bank accounts are mentioned?,1,1.0,0.8,1.0876,1.0,1.0,0,0.6343,0.3657,1.0,474,10.655,0.5906,0.4859,0.5028
paragraph,dense_rerank,9,What types of bank accounts are mentioned?,1,0.5,0.4,0.4982,0.3333,2.0,0,0.6557,0.3443,1.0,257,1419.718,0.6144,0.4741,0.49
paragraph,hybrid_rerank,9,What types of bank accounts are mentioned?,1,0.5,0.4,0.4982,0.3333,2.0,0,0.6557,0.3443,1.0,257,1374.686,0.6144,0.4741,0.49
